"date"	"bassin"	"comptage"	"sel"	"temperature"	"o2"	"niveau"	"annee"	"dateJ"
"2014-11-19"	"C"	0	17.337037037037	14.9148148148148	8.51234567901234	2.32098765432099	2014	322
"2014-11-19"	"D"	9	56.2711111111111	15.0666666666667	8.20444444444444	21.7333333333333	2014	322
"2014-11-19"	"G"	1	76.6977777777778	14.98	7.61222222222222	19.2222222222222	2014	322
"2014-11-19"	"H"	6	79.8011111111111	15.2266666666667	9.03333333333333	26.1555555555556	2014	322
"2014-11-19"	"I"	5	42.3311111111111	15.1066666666667	8.09555555555555	82.1111111111111	2014	322
"2014-11-19"	"J"	5	44.3011111111111	15.4733333333333	8.41111111111111	10.8444444444444	2014	322
"2014-11-19"	"KL"	7	67.0066666666667	15.8666666666667	7.73555555555556	26.1555555555556	2014	322
"2014-12-11"	"B"	216	19.3253968253968	10.4285714285714	9.98253968253968	10.6349206349206	2014	344
"2014-12-11"	"C"	0	18.3962962962963	11.8185185185185	8.1320987654321	1.23456790123457	2014	344
"2014-12-11"	"D"	0	41.0253968253968	12.3142857142857	8.92698412698413	16.6349206349206	2014	344
"2014-12-11"	"G"	0	57.9698412698413	11.7428571428571	8.8531746031746	13.4444444444444	2014	344
"2014-12-11"	"H"	0	61.318253968254	12.284126984127	9.22380952380952	24.7619047619048	2014	344
"2014-12-11"	"I"	0	37.9603174603175	12.7396825396825	8.90952380952381	78.015873015873	2014	344
"2014-12-11"	"J"	11	38.7119047619048	12.2825396825397	9.17777777777778	15.8412698412698	2014	344
"2014-12-11"	"KL"	0	52.4460317460317	13.0539682539683	8.63333333333333	24.4603174603175	2014	344
"2014-12-19"	"B"	65	5.84444444444444	9.61666666666667	10.0166666666667	15	2014	352
"2014-12-19"	"C"	1	10.5333333333333	11.7	10.5333333333333	2.83333333333333	2014	352
"2014-12-19"	"D"	75	10.2333333333333	11.0833333333333	9.32777777777778	41.7777777777778	2014	352
"2014-12-19"	"G"	0	21.2944444444444	11.325	9.93333333333333	43.5555555555556	2014	352
"2014-12-19"	"H"	0	30.1083333333333	11.5055555555556	9.98333333333333	49.0277777777778	2014	352
"2014-12-19"	"I"	0	29.7444444444444	12.2777777777778	9.91111111111111	94.1666666666667	2014	352
"2014-12-19"	"J"	0	20.9722222222222	11.6361111111111	9.725	16.2777777777778	2014	352
"2014-12-19"	"KL"	0	26.6888888888889	11.8777777777778	10.6777777777778	49	2014	352
"2015-01-08"	"B"	32	9.91176470588235	6.44705882352941	10.4235294117647	15.8823529411765	2015	7
"2015-01-08"	"C"	0	18.4352941176471	7.96470588235294	8.3	0.705882352941177	2015	7
"2015-01-08"	"D"	339	14.2	9.04705882352941	9.88823529411765	21.1764705882353	2015	7
"2015-01-08"	"G"	0	24.85	8.03235294117647	10.6852941176471	19	2015	7
"2015-01-08"	"H"	0	30.8882352941176	8.82941176470588	9.92058823529412	30.6470588235294	2015	7
"2015-01-08"	"I"	1	30.1470588235294	10.0588235294118	10.1	80	2015	7
"2015-01-08"	"J"	1	25.8058823529412	8.55	10.3352941176471	19.5	2015	7
"2015-01-08"	"KL"	1	27.9529411764706	9.5	10.4764705882353	30.4117647058824	2015	7
"2015-01-17"	"B"	111	9.25333333333333	6.76666666666667	10.38	15.8	2015	16
"2015-01-17"	"C"	4	16.88	8.27333333333333	8.42	1.33333333333333	2015	16
"2015-01-17"	"D"	160	13.4266666666667	9.31333333333333	10.0133333333333	20.7333333333333	2015	16
"2015-01-17"	"G"	0	23.6233333333333	8.61666666666667	10.26	19.2666666666667	2015	16
"2015-01-17"	"H"	12	29.2866666666667	9.55666666666667	9.72666666666667	27.5666666666667	2015	16
"2015-01-17"	"I"	1	29.1133333333333	10.3866666666667	10.1266666666667	80	2015	16
"2015-01-17"	"J"	0	24.1033333333333	9.02333333333334	10.2433333333333	18.3333333333333	2015	16
"2015-01-17"	"KL"	0	26.3066666666667	10.3866666666667	10.3266666666667	32.5333333333333	2015	16
"2015-01-27"	"B"	240	9.08928571428571	6.43214285714286	10.9285714285714	19.6428571428571	2015	26
"2015-01-27"	"C"	0	12.3571428571429	6.72142857142857	10.975	4.17857142857143	2015	26
"2015-01-27"	"D"	32	13.6821428571429	8.99642857142857	10.3535714285714	21.6428571428571	2015	26
"2015-01-27"	"G"	1	21.4339285714286	7.05	11.2017857142857	19.1785714285714	2015	26
"2015-01-27"	"H"	1	28.9	8.3625	10.7446428571429	20.5714285714286	2015	26
"2015-01-27"	"I"	1	27.9285714285714	9.66785714285714	10.1178571428571	80	2015	26
"2015-01-27"	"J"	1	21.8803571428571	7.56964285714286	11.075	12.2321428571429	2015	26
"2015-01-27"	"KL"	1	25.7821428571429	8.79642857142857	11.1392857142857	24.9642857142857	2015	26
"2015-02-10"	"B"	109	10.4650793650794	8.25079365079365	10.8190476190476	19.0952380952381	2015	40
"2015-02-10"	"C"	3	14.6587301587302	7.90793650793651	10.3761904761905	4	2015	40
"2015-02-10"	"D"	113	16.0396825396825	10.5190476190476	10.5714285714286	21.0952380952381	2015	40
"2015-02-10"	"G"	0	22.1555555555556	8.85714285714286	11.7611111111111	19.1507936507937	2015	40
"2015-02-10"	"H"	0	29.4928571428571	9.83571428571429	11.1912698412698	23.0555555555556	2015	40
"2015-02-10"	"I"	1	27.5047619047619	10.7873015873016	10.5825396825397	80	2015	40
"2015-02-10"	"J"	1	22.3928571428571	9.21587301587302	11.2	14.0079365079365	2015	40
"2015-02-10"	"KL"	0	25.4428571428571	9.75873015873016	12.0238095238095	21.7936507936508	2015	40
"2015-02-20"	"B"	30	7.35714285714286	7.65714285714286	10.5942857142857	17.9714285714286	2015	50
"2015-02-20"	"C"	1	9.66	8.29142857142857	10.3514285714286	4.97142857142857	2015	50
"2015-02-20"	"D"	205	11.5571428571429	10.0314285714286	10.6171428571429	19.9714285714286	2015	50
"2015-02-20"	"G"	0	18.7085714285714	9.48857142857143	9.67571428571429	19.9857142857143	2015	50
"2015-02-20"	"H"	2	24.4214285714286	11.0528571428571	9.85571428571429	14.3285714285714	2015	50
"2015-02-20"	"I"	1	25.2971428571429	10.9885714285714	10.2428571428571	80	2015	50
"2015-02-20"	"J"	5	17.7585714285714	9.62857142857143	10.52	11.1857142857143	2015	50
"2015-02-20"	"KL"	0	21.1342857142857	12.0457142857143	10.4942857142857	33.5714285714286	2015	50
"2015-03-02"	"B"	140	8.92857142857143	9.22857142857143	10.5371428571429	17.6857142857143	2015	60
"2015-03-02"	"C"	5	12.26	9.20571428571428	9.86571428571429	4.68571428571429	2015	60
"2015-03-02"	"D"	37	14.1285714285714	11.3457142857143	10.7885714285714	19.6857142857143	2015	60
"2015-03-02"	"G"	3	19.7942857142857	10.8742857142857	10.4328571428571	19.8428571428571	2015	60
"2015-03-02"	"H"	2	25.6357142857143	12.0814285714286	10.4128571428571	17.6142857142857	2015	60
"2015-03-02"	"I"	1	25.2685714285714	11.8742857142857	10.6714285714286	80	2015	60
"2015-03-02"	"J"	7	18.8442857142857	10.9142857142857	10.72	13.0428571428571	2015	60
"2015-03-02"	"KL"	1	21.4771428571429	12.5028571428571	11.4371428571429	29.2857142857143	2015	60
"2015-03-19"	"B"	77	21.4	12.05	9.25	19.5	2015	77
"2015-03-19"	"C"	13	19.75	12.05	8.3	4.5	2015	77
"2015-03-19"	"D"	33	24.1	14.25	10.6	20	2015	77
"2015-03-19"	"G"	1	27.7	13.825	11.15	17.25	2015	77
"2015-03-19"	"H"	0	33.575	14.75	10.575	13.5	2015	77
"2015-03-19"	"I"	12	27.5	14.7	8.95	80	2015	77
