"PLOT"	"X5_min"	"X10_min"	"X15_min"	"obs"	"total"	"PROPFOR"	"PROPNATFOR"	"SHA500"	"VEGH"	"altitude"	"hour_decimal"	"observer"	"region"	"zone"	"X"	"Y"
1239	0	0	0	0	0	0.983216356423558	1	0.085242637	15	740	11.97	"EB"	"Mont"	"Hawdon_Valley"	2408417	5802790
1247	0	0	0	0	0	0.674350483953133	1	0.774207729	8	593	10.52	"DH"	"Mont"	"Hawdon_Valley"	2411280	5801030
1248	0	0	0	0	0	0.49598879409143	1	0.693115001	15	566	11.07	"DH"	"Mont"	"Hawdon_Valley"	2410845	5801055
1250	0	0	0	0	0	0.875496031746032	1	0.375803802	8	1201	10.12	"JM"	"Mont"	"Hawdon_Valley"	2409608	5803021
1251	0	0	0	0	0	1	1	0	15	927	7.9	"JM"	"Mont"	"Hawdon_Valley"	2408656	5802134
1252	1	1	1	3	2	0.994505494505495	1	0.034072826	15	957	8.45	"JM"	"Mont"	"Hawdon_Valley"	2408643	5802390
1253	1	1	1	3	2	0.792256978538365	1	0.510950949	15	1103	9.3	"JM"	"Mont"	"Hawdon_Valley"	2409068	5802701
1254	0	0	0	0	0	0.999866524292579	1	0.001324282	8	936	11.33	"JM"	"Mont"	"Hawdon_Valley"	2408872	5802270
1255	0	0	0	0	0	0.986887332908975	1	0.069858932	25	787	11.75	"JM"	"Mont"	"Hawdon_Valley"	2408504	5801954
1257	0	0	0	0	0	0.998344581688527	1	0.012254852	8	705	8.05	"SL"	"Mont"	"Hawdon_Valley"	2412235	5801334
1258	0	0	0	0	0	1	1	0	15	819	8.58	"SL"	"Mont"	"Hawdon_Valley"	2412467	5802154
1259	0	0	1	1	1	1	1	0	15	863	9.1	"SL"	"Mont"	"Hawdon_Valley"	2412802	5802641
1260	1	0	0	1	2	1	1	0	8	839	9.55	"SL"	"Mont"	"Hawdon_Valley"	2412795	5803153
1261	0	0	0	0	0	1	1	0	15	757	10.17	"SL"	"Mont"	"Hawdon_Valley"	2412692	5803581
1262	0	0	0	0	0	1	1	0	15	774	10.68	"SL"	"Mont"	"Hawdon_Valley"	2412800	5803750
1263	0	0	0	0	0	1	1	0	15	755	11.13	"SL"	"Mont"	"Hawdon_Valley"	2412808	5803402
1271	0	0	0	0	0	0.244796322308773	1	0.97889284	35	52	11.83	"JM"	"Banks"	"Prices_Valley"	2487117	5715649
1272	0	0	0	0	0	0.343965297269712	0.844213649851632	1.321106994	4	111	11.5	"JM"	"Banks"	"Prices_Valley"	2487620	5716259
1276	0	0	0	0	0	0.27511749015623	1	1.0735131	25	579	8.8	"JM"	"Banks"	"Prices_Valley"	2488586	5718873
1277	0	0	0	0	0	0.331043256997455	1	0.910369975	15	626	8.33	"DH"	"Banks"	"Prices_Valley"	2490467	5719400
1279	0	0	0	0	0	0.352170039455263	0.427177448500181	1.088712489	15	547	9.35	"DH"	"Banks"	"Prices_Valley"	2491517	5718603
1286	0	0	0	0	0	0.419638308711156	0	1.07650869	8	200	8.27	"DH"	"Plain"	"Eyrewell_West"	2446111	5757357
1287	0	0	0	0	0	0.391619969434539	0	0.669467206	15	198	8.85	"DH"	"Plain"	"Eyrewell_West"	2446017	5756568
1288	0	0	0	0	0	0.80061115355233	0	0.499554017	15	199	9.43	"DH"	"Plain"	"Eyrewell_West"	2446185	5755491
1289	0	0	0	0	0	1	0	0	15	206	10	"DH"	"Plain"	"Eyrewell_West"	2444932	5754850
1294	0	0	0	0	0	0.450006368615463	0	1.051055689	15	202	8.32	"EB"	"Plain"	"Eyrewell_West"	2445695	5757556
1295	0	0	0	0	0	0.489171974522293	0	0.69291267	15	198	8.92	"EB"	"Plain"	"Eyrewell_West"	2445889	5756229
1296	0	0	0	0	0	0.802190803719271	0	0.497350285	25	201	9.37	"EB"	"Plain"	"Eyrewell_West"	2445774	5755644
1297	0	0	0	0	0	0.996944621260344	0	0.021273159	25	203	9.97	"EB"	"Plain"	"Eyrewell_West"	2445500	5754653
1301	0	0	0	0	0	0.844478410393581	0	0.531160163	25	88	11.88	"DH"	"Plain"	"Eyrewell_East"	2462454	5754861
1303	0	0	0	0	0	0.60873440285205	0	0.793598441	4	91	10.88	"SL"	"Plain"	"Eyrewell_East"	2462072	5754659
1307	0	0	0	0	0	0.777041661358135	0	0.674125108	8	93	8.53	"SL"	"Plain"	"Eyrewell_East"	2461590	5754091
1313	0	0	0	0	0	0.688741721854305	0	0.620103739	8	79	11.5	"SL"	"Plain"	"Eyrewell_East"	2463604	5754138
1314	0	0	0	0	0	0.753438614365767	0	0.679720938	15	86	11.83	"SL"	"Plain"	"Eyrewell_East"	2462680	5754400
1315	0	0	0	0	0	0.835817093363903	0	0.549125836	15	84	11.92	"JM"	"Plain"	"Eyrewell_East"	2462867	5754678
1316	0	0	0	0	0	0.793784231308114	0	0.508899494	15	77	11.48	"JM"	"Plain"	"Eyrewell_East"	2463771	5754323
1317	0	0	0	0	0	0.192768016297428	0	1.331151554	4	78	11.05	"JM"	"Plain"	"Eyrewell_East"	2463503	5753266
1319	0	0	0	0	0	0.610467337323316	0	0.87538923	15	104	10.08	"JM"	"Plain"	"Eyrewell_East"	2459407	5752601
1320	0	0	0	0	0	0.788897377132671	0	0.645905263	15	97	9.53	"JM"	"Plain"	"Eyrewell_East"	2460740	5753883
1321	0	0	0	0	0	0.824353585530506	0	0.469645302	15	93	9.12	"JM"	"Plain"	"Eyrewell_East"	2461256	5753744
1322	0	0	0	0	0	0.514645950076414	0	0.692718111	4	93	8.53	"JM"	"Plain"	"Eyrewell_East"	2461560	5754415
1325	0	0	0	0	0	0.230514518593989	0	1.072744453	4	105	7.77	"JM"	"Plain"	"Eyrewell_East"	2459732	5755274
1326	0	0	0	0	0	0.370813701770024	0.0116758241758242	0.856396846	15	396	6.88	"DH"	"Foot_hills"	"Mt_Etna"	2416129	5748503
1327	0	0	0	0	0	0.388004584235324	0	0.682226971	15	446	7.33	"DH"	"Foot_hills"	"Mt_Etna"	2415919	5748656
1335	0	0	0	0	0	0.0165562913907285	1	0.463854663	2	486	10.43	"EB"	"Foot_hills"	"Mt_Etna"	2413000	5748950
1337	0	0	0	0	0	0.0221571373997199	1	0.606075644	15	434	11.62	"EB"	"Foot_hills"	"Mt_Etna"	2413450	5748800
1340	0	0	0	0	0	0.456687898089172	0.155090655509066	0.886423407	8	364	8.95	"SL"	"Foot_hills"	"Mt_Etna"	2415300	5748280
1341	0	0	0	0	0	0.0112059085699733	0	0.07531723	15	376	9.65	"SL"	"Foot_hills"	"Mt_Etna"	2415233	5749238
1344	0	0	0	0	0	0.0291645440652063	0	0.439148392	15	379	11.02	"SL"	"Foot_hills"	"Mt_Etna"	2416126	5749495
1350	0	0	0	0	0	0.155864001018719	1	0.580863802	4	490	10.18	"DH"	"Foot_hills"	"Mt_Etna"	2414011	5750212
1351	0	0	0	0	0	0.197733638910109	1	0.56935579	8	452	10.67	"DH"	"Foot_hills"	"Mt_Etna"	2414318	5750003
1355	0	0	0	0	0	0	0	0.863014053	4	436	8.42	"JM"	"Foot_hills"	"Mt_Etna"	2413465	5749622
1359	0	0	0	0	0	0.0854232972628899	1	0.493383183	8	504	11.08	"JM"	"Foot_hills"	"Mt_Etna"	2416247	5751709
1368	0	0	0	0	0	0.786933265410087	0	0.566916775	8	156	7.5	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2452170	5755589
1369	0	0	0	0	0	1	0	0	4	151	8	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2452868	5755090
1370	0	0	0	0	0	1	0	0	2	152	8.45	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2452655	5754539
1371	0	0	0	0	0	0.856069290536237	0	0.412035195	15	151	9.08	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2452451	5753734
1372	0	0	0	0	0	1	0	0	8	162	9.72	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2451113	5753811
1373	0	0	0	0	0	0.333036282622533	0	1.079038587	8	168	10.33	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2450088	5755301
1374	0	0	0	0	0	0.586378103119032	0	0.678149701	4	163	10.9	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2450903	5755281
1375	0	0	0	0	0	0.583651642475172	0	0.679085955	8	168	11.35	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2450609	5756258
1376	0	0	0	0	0	0.709628120224147	0	0.622274082	15	166	11.77	"SL"	"Plain"	"Eyrewell_Centre_Wes"	2450936	5756720
1377	0	0	0	0	0	0.726161680458307	0.00017531556802244	0.771684226	15	164	11.8	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2451238	5756368
1378	0	0	0	0	0	0.268305106328792	0	1.278421476	15	174	11.42	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2449714	5756505
1379	0	0	0	0	0	0.478100331041508	0	0.692187683	8	163	11	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2451064	5755597
1380	0	0	0	0	0	0.537619350732018	0	0.902225559	4	167	10.42	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2450326	5755156
1381	0	0	0	0	0	0.804023939895581	0	0.494773201	15	163	9.73	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2450864	5753550
1382	0	0	0	0	0	0.767065715741212	0	0.542797634	4	150	9.1	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2452479	5753390
1384	0	0	0	0	0	1	0	0	8	153	8.02	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2452510	5754744
1385	0	0	0	0	0	0.776546982429335	0	0.685744489	15	157	7.52	"JM"	"Plain"	"Eyrewell_Centre_Wes"	2451960	5755463
1393	0	0	0	0	0	0.630667345899134	0	0.739597389	8	109	10.83	"SL"	"Plain"	"Eyrewell_Centre"	2458117	5751158
